what,kind,bundleId,bundleVersion,description,time
closed,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780049589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421780049722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780049739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780054155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1421780070929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780070943
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780071973
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780072052
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421780080865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780091164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780092274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780092451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780093445
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780101456
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780104786
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780106160
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421780118074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780138333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780139510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780139686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780141291
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780143025
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421780144346
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780150161
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421780152226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780157629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780158740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780158948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780160092
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780164616
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780169409
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421780182483
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780185234
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421780188371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780199838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780200767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780200930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780202851
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780210059
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780212534
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421780216908
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780218578
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421780232188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780240391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780241477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780241656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421780243541
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421780255259
